Source;Target;Type
1062;200467;Undirected
1062;200468;Undirected
1062;155533;Undirected
1062;298483;Undirected
1062;155168;Undirected
1062;155168;Undirected
1062;200468;Undirected
1062;299245;Undirected
1062;200468;Undirected
1062;155168;Undirected
1062;200468;Undirected
1062;155168;Undirected
1062;479316;Undirected
1062;200468;Undirected
1062;155168;Undirected
1062;200468;Undirected
1062;200468;Undirected
1062;299245;Undirected
1062;299308;Undirected
1062;299308;Undirected
1062;299308;Undirected
1062;200468;Undirected
1062;155168;Undirected
1062;299245;Undirected
1062;203082;Undirected
1062;155168;Undirected
1062;200467;Undirected
1062;200468;Undirected
1062;155533;Undirected
1062;298483;Undirected
1062;299308;Undirected
1062;200468;Undirected
1062;200468;Undirected
1062;155180;Undirected
1062;200468;Undirected
1062;155168;Undirected
1062;200468;Undirected
1062;155168;Undirected
1062;200468;Undirected
1062;155168;Undirected
1062;200468;Undirected
1062;203471;Undirected
1062;155168;Undirected
1062;203082;Undirected
1062;299245;Undirected
1062;200468;Undirected
1062;200467;Undirected
1062;200468;Undirected
1062;299308;Undirected
1062;200468;Undirected
1062;155168;Undirected
1062;200468;Undirected
1062;155168;Undirected
1062;200468;Undirected
1062;155168;Undirected
1062;200468;Undirected
1062;200468;Undirected
1062;299245;Undirected
1062;43806;Undirected
1062;200162;Undirected
1062;200467;Undirected
1062;200468;Undirected
1062;200468;Undirected
1062;298483;Undirected
1062;200468;Undirected
1062;200468;Undirected
1062;200468;Undirected
1062;299245;Undirected
1062;200468;Undirected
1062;299308;Undirected
1062;200468;Undirected
1062;200468;Undirected
1062;155168;Undirected
1062;200468;Undirected
1062;155168;Undirected
1062;200468;Undirected
1062;200468;Undirected
1062;200390;Undirected
1062;203471;Undirected
1062;155168;Undirected
1062;200390;Undirected
1062;200468;Undirected
1062;155168;Undirected
1062;120551;Undirected
1062;200468;Undirected
1062;155168;Undirected
1062;200468;Undirected
1062;155168;Undirected
1062;200468;Undirected
1062;155168;Undirected
1062;200468;Undirected
1062;299245;Undirected
1062;75465;Undirected
1062;155168;Undirected
1062;75465;Undirected
1062;299308;Undirected
1062;200468;Undirected
1062;155168;Undirected
1062;200468;Undirected
1062;155168;Undirected
1062;200390;Undirected
1062;155168;Undirected
1062;155168;Undirected
1062;200390;Undirected
1062;200468;Undirected
1062;200468;Undirected
1062;155168;Undirected
1062;200468;Undirected
1062;200468;Undirected
1062;200468;Undirected
1062;299245;Undirected
1062;155168;Undirected
1062;74969;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4638;28131;Undirected
4642;4645;Undirected
4642;4645;Undirected
4642;4645;Undirected
4642;4645;Undirected
4642;4645;Undirected
4642;197622;Undirected
4642;4645;Undirected
4642;4645;Undirected
4642;4645;Undirected
4642;114035;Undirected
4642;4645;Undirected
4642;4645;Undirected
4642;197622;Undirected
4642;48147;Undirected
4642;4645;Undirected
4642;197622;Undirected
4642;197622;Undirected
4642;197622;Undirected
4642;197622;Undirected
4642;197622;Undirected
4642;114035;Undirected
4642;4645;Undirected
4642;4645;Undirected
4642;4645;Undirected
4642;4645;Undirected
4642;114035;Undirected
4642;4645;Undirected
4642;4645;Undirected
4642;239659;Undirected
4642;4645;Undirected
4642;4645;Undirected
4642;4645;Undirected
